rotten_tomatoes_link,movie_title,movie_info,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,binned
m/1016837-promised_land,Promised Land,"Corporate sales partners Steve Butler (Matt Damon) and Sue Thomason (Frances McDormand) arrive in a small town to secure drilling rights for a natural-gas company. They believe that the economic decline has done their work for them and that the townspeople will happily accept whatever offer they make. However, they don't consider the objections of a respected schoolteacher (Hal Holbrook) and the leader (John Krasinski) of a grassroots campaign against the company's objective.",R,Drama,Gus Van Sant,"John Krasinski, Matt Damon","Matt Damon, John Krasinski, Frances McDormand, Johnny Cicco, Rosemarie DeWitt, Hal Holbrook, Scoot McNairy, Titus Welliver, Benjamin Sheeler, Terry Kinney, Carla Bianco, Joe Coyle, Dorothy Silver, Lexi Cowan, Tim Guinee, Sara Lindsey, Frank Conforti, Garrett Ashbaugh, Jerico Morgan, Max Schuler, August G. Siciliano, Ken Strunk, Karen Baum, Gerri Bumbaugh, Erin Baldwin, Kristin Slaysman, Andrew Kuebel, Matthew Ferrante, Justin Cook, Steven Craven, Bruce Craven, Gene Williams, Dan Anders, Lucas Black, Sandy Medred, Carrington E. Vaughn, Alexander Cain, Joy De La Paz, Lennon Wynn Kuzniar, Payton Godfrey",2013-01-04,2016-05-23,106.0,Focus Features,Rotten,53.0,154.0,Spilled,46.0,20366.0,42,81,73,FLOP
m/10_cent_pistol,10 Cent Pistol,"When a high-stakes scheme goes horribly wrong, two brothers must take on the craziest job of their criminal careers, and pray they get out alive.",R,"Drama, Mystery & Suspense",Michael C. Martin,Michael C. Martin,"Damon Alexander, J.T. Alexander, Jena Malone, Joe Mantegna, Adam Arkin, Thomas Ian Nicholas, Brendan Sexton III, Jessica Szohr, Amir Talai, Kevin Brief, Emilio Rivera, Steve Cell, Alex Beh, Adam Clark, Bridget Colella, William Echeverri, Kiko Ellsworth, Lauren Fray, Colby French",2015-07-24,2015-07-24,91.0,eOne Entertainment,Rotten,43.0,7.0,Spilled,29.0,108.0,2,3,4,FLOP
m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.",PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Dan Trachtenberg,"Josh Campbell, Matthew Stuecken, Damien Chazelle","Mary Elizabeth Winstead, John Goodman, John Gallagher Jr., Bradley Cooper, Cindy Hogan, Mat Vairo, Maya Erskine, Douglas M. Griffin, Suzanne Cryer, Jamie Clay, Sumalee Montano, Frank Mottek",2016-03-11,2016-05-31,103.0,Bad Robot Productions,Certified-Fresh,90.0,309.0,Upright,79.0,60918.0,52,278,31,HIT
m/10_years,10 Years,"Former high-school friends (Channing Tatum, Rosario Dawson, Justin Long) meet again after a decade and discover that the passage of time has changed some things, but not others.",PG-13,"Comedy, Drama",Jamie Linden,Jamie Linden,"Channing Tatum, Justin Long, Max Minghella, Jenna Dewan, Kate Mara, Chris Pratt, Rosario Dawson, Lynn Collins, Oscar Isaac, Ari Graynor, Brian Geraghty, Ron Livingston, Anthony Mackie, Eiko Nijo, Aubrey Plaza, Scott Porter, Aaron Yoo, Nick Zano, Isaac Kappy, Sara A. Emami, Bryce Hayes, Marie A.K. McMaster, Brady Kephart, Kenneth McGlothin, Todd Malta, Lauren Poole, Cat Stone, Alex Knight, Frantz Durand, Michelle Griego, Monique Candelaria, Rebekah Wiggins, Iván Martín, Y Not, Jack Nation, Kelly Noonan",2012-09-14,2017-03-14,100.0,Anchor Bay Entertainment,Fresh,60.0,58.0,Spilled,40.0,11782.0,19,35,23,FLOP
m/10x10,10x10,"Lewis, an outwardly ordinary guy, kidnaps a woman and holds her in a soundproof cell where he attempts to extract a dark secret from her.",NR,Mystery & Suspense,Suzi Ewing,Noel Clarke,"Luke Evans, Kelly Reilly, Noel Clarke, Jason Maza, Jill Winternitz, Olivia Chenery, Ruby Bustamante",2018-04-13,2019-04-01,88.0,Vertical Entertainment,Fresh,67.0,9.0,Spilled,21.0,226.0,3,6,3,AVG
m/1155,11:55,"After being involved in the fatal shooting of a local drug dealer, U.S. Marine Nelson Sanchez returns to the neighborhood he left behind years ago. Amid the fanfare and celebration, the brother of the deceased learns of Nelson's homecoming and vows revenge. Word reaches Nelson but instead of fleeing, he charts an unlikely path to break the cycle of violence that defined him.",NR,Drama,"Ari J. Issler, Ben Snyder","Victor Almanzar, Ari J. Issler, Ben Snyder","Victor Almanzar, Elizabeth Rodriguez, David Zayas, Julia Stiles, John Leguizamo, Shirley Rumierk, Mike Carlsen, Goya Robles, Robin De Jesus, Dominic Colón, Smarlin Hernandez, Kareem Savinon",2017-06-09,2017-06-09,80.0,Gravitas Ventures,Fresh,100.0,5.0,Upright,79.0,384.0,3,5,0,HIT
m/1200731-robocop,RoboCop,"In 2028, OmniCorp is at the center of robot technology. While its drones have long been used by the military overseas, their use is forbidden in American law enforcement. However, OmniCorp gets a golden opportunity to crack that market when Detroit cop Alex Murphy (Joel Kinnaman) is critically injured in the line of duty. By transforming Murphy into a cyborg, OmniCorp executives hope to rake in billions for their shareholders, but they forget one thing: There's still a man inside the machine.",PG-13,"Action & Adventure, Science Fiction & Fantasy",José Padilha,"Ed Neumeier, Michael Miner, Nick Schenk, José Padilha, Joshua Zetumer, Edward Neumeier","Joel Kinnaman, Gary Oldman, Michael Keaton, Samuel L. Jackson, Abbie Cornish, Marianne Jean-Baptiste, Jay Baruchel, Michael Kenneth Williams, Jackie Earle Haley, Aimee Garcia, Jennifer Ehle, Douglas Urbanski, John Paul Ruttan, Patrick Garrow, Chris Collins, Daniel Kash, Zach Grenier, Maura Grierson, Stewart Arnott, Matt Cooke, Steve Cumyn, Noorin Gulamgaus, Marjan Neshat, Meysam Moazedi, Meysam Motazedi, Khaliya Hosein, Savana Hosein, Philip Akin, Paul Haywood, Raffi Altounian, Kelvin Wheeler, Alex Mallari Jr., Dwayne McLean, Tattiawna Jones, Wayne Downer, Robert Thomas, Jordan Johnson-Hinds, Ian Peters, Ricardo Betancourt, Evan Stern, Ish Morris, Ambrose Wong, Mark McKay, Aurora Browne, Rory O'Shea, Shondra Kayd, Stacey Unsworth, Jeana Lowes, Kanu Giddings, Tamara Almeida, Shane Invervary, Paul Sun-Hyung Lee, Thomas Mitchell, Ian Butcher, Rocky Invervary, Rocky Anderson, Dalias Blake, Barry Nerling, Dean Redman, Demord Dann, Darcy Hinds, Sean Francis, Steven Wright, Kirby Morrow, David Harcourt, Kevin Hare, Carlyn Burchell, Markus Parillo, Jessica Booker, Joe Merritt, Raiden Eastman, Aaliya Cinello, Megan Hoople, Prince Massey",2014-02-12,2016-08-12,117.0,Sony Pictures Releasing,Rotten,48.0,219.0,Spilled,49.0,127181.0,48,105,114,FLOP
m/1205530-three_stooges,The Three Stooges,"Left on the doorstep of an orphanage run by nuns, three newborn knuckleheads grow up to be finger-poking, nyuk-nyuking janitors named Larry (Sean Hayes), Curly (Will Sasso) and Moe (Chris Diamantopoulos). When they learn that financial problems will soon force the only home they've ever known to close, the trio sets out to raise $830,000 in one month. Out in the world for the very first time, the three innocent bumblers become embroiled in a murder plot and find stardom on a TV reality show.",PG,Comedy,"Bobby Farrelly, Peter Farrelly","Bobby Farrelly, Peter Farrelly, Mike Cerrone","Sean Hayes, Will Sasso, Chris Diamantopoulos, Jane Lynch, Sofía Vergara, Jennifer Hudson, Craig Bierko, Stephen Collins, Larry David, Kirby Heyborne, Carly Craig, Kate Upton, Marianne Leone, Brian Doyle-Murray, Mike 'The Situation' Sorrentino, Nicole ""Snooki"" Polizzi, Jenni ""JWoww"" Farley, Ronnie Magro, Sammi ""Sweetheart"" Giancola, Avalon Robbins, Max Charles, Jake Peck, Patty Ross, Lee Armstrong, Emy Coligado, Ray Collins, Isaiah Mustafa, Mark J. Kogan, Michael D'Allessio, Donna D'Allessio, Bob Kocsis, Apple Kocsis, Jackie Flynn, Sandra Dorsey, Vince Canlas, Ric Reitz, Caryl West, Sayed Badreya, Johnny Seal, Deborah Walker, Michael L. Kuhn, Pamela Smith, Lucy Thomas, Charlie G. Thomas, Skyler Gisondo, Lance Chantiles-Wertz, Robert Capron, Danny Smith, Kyla Kenedy, Erin Allin O'Reilly, Caitlin Colford, Caroline Kimberly Scott, Mariann Neary, Jesse Farrelly, Jerod Mayo, Troy Brown, Patricia French, Roy Jenkins, Barry Guy, Matthew Collins, Matthew L. Collins, William F. Scannell, Jonathan Kennedy, Lin Shaye, Steve Tyler, Myron Parker Jr., J.R. Fondessy, Robert J. Benjamin, Reid Meadows, Dwight Howard, Dallas Hobbs, Carter Hayden, Cooper Callihan, Kieran Vine, Antonio Sabato Jr., Justin Lopez",2012-04-13,2015-11-25,92.0,20th Century Fox,Rotten,52.0,149.0,Spilled,47.0,140543.0,34,77,72,FLOP
m/1209933-puss_in_boots,Puss in Boots,"Long before meeting Shrek, Puss in Boots (Antonio Banderas) -- just named a hero for saving a woman from a charging bull -- is run out of town on suspicion of bank robbery, even though the real villain is Puss' friend, Humpty Dumpty (Zach Galifianakis). Though there is still animosity between them, Puss and Humpty reunite to steal a goose that lays golden eggs. Joining them for the adventure of nine lifetimes is notorious cat burglar, Kitty Softpaws (Salma Hayek).",PG,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",Chris Miller,"Chris Miller, Tom Wheeler","Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Constance Marie, Guillermo del Toro, Bo Dietl, Ryan Crego, Tom Wheeler, Mike Mitchell, Bob Joles, Conrad Vernon, Nina Barry, Chris Miller, Latifa Ouaou, Tom McGrath, Bob Persichetti, Jessica Schulte",2011-10-28,2015-11-25,90.0,Paramount/Dreamworks,Certified-Fresh,86.0,154.0,Upright,67.0,78977.0,31,132,22,HIT
m/1211195-debt,The Debt,"In 1965, young Mossad agent Rachel Singer (Jessica Chastain) and two comrades (Sam Worthington, Marton Csokas) are involved in a secret mission to capture a Nazi war criminal known as the Surgeon of Birkenau (Jesper Christensen). The mission ends with the man's death on the streets of East Berlin. Thirty years later, a man claiming to be the doctor has appeared, and Rachel (Helen Mirren), haunted by memories of past events, must return to Eastern Europe to uncover the truth.",R,"Drama, Mystery & Suspense",John Madden,"Peter Straughan, Jane Goldman, Matthew Vaughn","Helen Mirren, Sam Worthington, Jessica Chastain, Jesper Christensen, Marton Csokas, Ciarán Hinds, Tom Wilkinson, Romi Aboulafia, Tomer Ben David, Ohev Ben David, Jonathan Uziel, Elana Kivity, Eli Zohar, Irén Bordán, Brigitte Kren, Nitzan Sharron, Balint Meran, Christian Strassner, Alexander E. Fennon, István Betz, Alexander Jagsch, Andras Szurdi, Melinda Korcsog, Adar Beck, Kátya Tompos, Jozsef Racz, Istvan Goz, Igor Vovk, Morris Perry, Erika Szoradi",2011-08-31,2015-12-01,112.0,Focus Features,Certified-Fresh,77.0,185.0,Upright,66.0,35898.0,45,142,43,AVG
m/1211199-last_night,Last Night,"Joanna (Keira Knightley) and Michael Reed (Sam Worthington) are a happily married couple. However, the fate of their marriage rests on how each responds to temptation during a night apart. Michael goes away on a business trip with an attractive colleague named Laura (Eva Mendes), whose outer beauty masks a deep loneliness. Slightly jealous, Joanna encounters a former flame (Guillaume Canet) and agrees to meet him for drinks, but the innocent date may become something more.",R,"Drama, Romance",Massy Tadjedin,Massy Tadjedin,"Keira Knightley, Sam Worthington, Eva Mendes, Guillaume Canet, Daniel Eric Gold, Anson Mount, Griffin Dunne, Stephanie Romanov, Scott Adsit, Justine Cotsonas, Rae Ritke, Chriselle Almeida",2011-05-06,2017-07-01,92.0,Independent Pictures,Rotten,53.0,68.0,Spilled,46.0,14295.0,23,36,32,FLOP
m/1212910-warrior,Warrior,"An estranged family finds redemption in the unlikeliest of places: the MMA ring. Tommy (Tom Hardy), an ex-Marine with a tragic past, returns home and enlists his father (Nick Nolte), a recovering alcoholic and former wrestling coach, to train him for ""Sparta,"" the biggest MMA tournament ever held. But when Tommy's underdog brother, Brendan (Joel Edgerton), fights his way into the tournament, the two brothers must finally confront each other and the forces that pulled them apart.",PG-13,"Action & Adventure, Drama",Gavin O'Connor,"Gavin O'Connor, Anthony Tambakis, Cliff Dorfman","Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison, Frank Grillo, Kevin Dunn, Maximiliano Hernandez, Bryan Callen, Sam Sheridan, Fernando Chien, Jake McLaughlin, Vanessa Martinez, Denzel Whitaker, Carlos Miranda, Nick Lehane, Laura Kenley, Capri Thomas, Lexi Cowan, Noah Emmerich, Dan ""Punkass"" Caldwell, Tim ""Skyskrape"" Katz, Julia Stockstad, Joshua Rosenthal, Kurt Angle, Erik ""Bad"" Apple, Nate Marquardt, Roan Carneiro, Daniel Stevens, Panuvat Anthony Nanakornpanom, Hans Marrero, Yves Edwards, Amir Perets, Anthony Johnson, Jimmy Cvetic, Jace Jeanes, Jake Digman, Richard Fike, Andre Mason, James Houk, Aaron Kleiber, Raymond Rowe, Lambert R. Strayer, Roman Vasylyshyn, Anthony Tambakis, Jonathan Matthew Anik, Rashad Evans, Stephan Bonnar, Michelle Brown Mooney, Tim Bickel, Jack Fischer, Jeff Hochendoner, Armon York, Adam Christian Stanley, James Dreussi, Kevin P. Hanley, Tammy Townsend, Etta Cox, Sandy Notaro, Francesca Ortenzio, Jaime Sinue Aguirre, Tracy Campbell, Thomas McCue",2011-09-09,2013-09-10,139.0,Lionsgate,Certified-Fresh,83.0,191.0,Upright,92.0,59397.0,46,159,32,HIT
m/12_oclock_boys_2013,12 O'clock Boys,"A Baltimore boy named Pug idolizes a group of dirt-bike riders who raise havoc on city streets. Lacking any other significant male role models, Pug hopes to join their ranks one day.",NR,"Documentary, Special Interest",Lotfy Nathan,Lotfy Nathan,"Steven ""AkA Moe""",2014-01-31,2016-08-10,74.0,Oscilloscope Laboratories,Certified-Fresh,92.0,48.0,Upright,64.0,2461.0,20,44,4,HIT
m/12_strong,12 Strong,"In the wake of Sept. 11, Capt. Mitch Nelson leads a U.S. Special Forces team into Afghanistan for an extremely dangerous mission. Once there, the soldiers develop an uneasy partnership with the Northern Alliance to take down the Taliban and its al-Qaida allies. Outgunned and outnumbered, Nelson and his forces face overwhelming odds in a fight against a ruthless enemy that takes no prisoners.",R,"Action & Adventure, Drama",Nicolai Fuglsig,"Peter Craig, Ted Tally","Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill, Austin Hébert, Austin Stowell, Ben O'Toole, Kenneth Miller, Kenny Sheard, Jack Kesy, Rob Riggle, William Fichtner, Arshia Mandavi, Elsa Pataky, Laith Nakli, Fahim Fazli, Yousuf Azami, Ali Olomi",2018-01-19,2018-04-03,130.0,Warner Bros. Pictures,Rotten,50.0,171.0,Upright,62.0,5210.0,39,86,85,FLOP
m/12_years_a_slave,12 Years a Slave,"In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever.",R,Drama,Steve McQueen (III),John Ridley,"Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch, Paul Giamatti, Brad Pitt, Sarah Paulson, Paul Dano, Lupita Nyong'o, Alfre Woodard, Michael Kenneth Williams, Scoot McNairy, Garret Dillahunt, Dwight Henry, Dickie Gravois, Bryan Batt, Ashley Dyke, Kelsey Scott, Quvenzhane Wallis, Tony Bentley, Taran Killam, Christopher Berry, Bill Camp, Mister Mackey Jr., Chris Chalk, Craig Tate, Adepero Oduye, Storm Reid, Tom Proctor, Marc Macaulay, Vivian Fleming-Alvarez, Douglas M. Griffin, John McConnell, Marcus Lyle Brown, Richard Holden, Robert Steinberg, Anwan Glover, J.C. Victor, Liza J. Bennett, Nicole Collins, J.D. Evermore, Andy Dylan, Deneen D. Tyler, Mustafa Harris, Gregory Bright, Austin Purnell, Thomas Francis Murphy, Andre Shanks, Kelvin Harrison Jr., Scott M. Jefferson, Isaiah Jackson, Topsy Chapman, Devin Maurice Evans, Jay Huguley, Devyn Tyler, Willo Jean-Baptiste, Cameron Zeigler",2013-10-18,2015-08-31,134.0,Fox Searchlight,Certified-Fresh,95.0,365.0,Upright,90.0,140313.0,64,348,17,HIT
m/13-2010,13,A desperate man (Sam Riley) takes part in an underworld game of Russian roulette in which gamblers place bets on who will survive.,R,"Drama, Mystery & Suspense",Géla Babluani,"Géla Babluani, Gregory J. Pruss, Greg Pruss","Sam Riley, Mickey Rourke, Jason Statham, Emmanuelle Chirqui, Ray Winstone, Emmanuelle Chriqui, Alexander Skarsgård, Michael Shannon, 50 Cent, David Zayas, Ben Gazzara, Ronald Guttman, John Bedford Lloyd, Alan Davidson, Gaby Hoffmann, Michael Berry Jr., Alice Barrett-Mitchell, Stephen Beach, Michael D'Onofrio, Starla Benford, Daisy Tahan, Carlos Reig-Plaza, Forrest Griffin, Ed Bergtold, John Robert Hoffman, Doug Kruse, J.D. Thompson, Chuck Zito, Anthony Chisholm, Stephen Gevedon, Jamison Ernest, Ricky Garcia, Joseph Debona, Doug Torres, Danny Rutigliano, Temur Babluani, Toru Ohno, Chris McKinney, Frank Senger, Lars Gerhard, Wayne Duvall, Darrell Larson, Scotty Dillin, Paul Butler, Don Frye, Peter Figlia, Prianga Pieris, Brad Gallagher, Howard W. Overshown, Omar Hernandez, Paul Lucas, Glen Trotiner, David Conley (V), Rock Kohli, George Feaster, Martin Murphy, Mark Halvis, Dan Paragon, William Fowle, Robert Testut, Roberto Rizzo, David Scott Klein, William Posner, Robert Freedman, John Fiore, Jerry Goralnick, Jeff Burchfield, Nacho Figueras",2011-10-28,2017-03-14,97.0,Anchor Bay,Rotten,8.0,13.0,Spilled,34.0,5638.0,7,1,12,FLOP
